KEGG,G7_1,G7_2,G7_3,G7_4,G7_5,G7_6
C05400,45866140.39,41519250.15,27379416.69,31872581.93,26604786.92,25743702.94
C00166,4281611.216,3043387.479,1238592.706,1516775.88,1725022.594,1293049.749
C16680,9105263.968,18938379.95,14421709.46,7113435.194,17638087.29,13197477.28
C00233,523348661,463923319.5,624703807,481745050.9,394004380.8,484277441.1
C06524,9369484.896,6526881.568,5410859.723,6260479.105,6666184.575,6104719.157
C01551,7607030.35,10714146.91,10507941.3,7683961.789,8133900.823,6415973.276
C00955,8192771.679,10749401.4,13535884.41,9251305.203,12302751.6,9988106.694
C02366,48801714.41,136807158.1,50759944.77,60123531.79,90121886.32,60708042.18
C00547,25460679.03,22983178.84,18749460.35,19214586.49,16333729.63,19293265.27
C05576,10609557.09,6878995.429,10625268.09,15975403.96,9462787.475,10857587.74
C12989,927597289.8,754174872.9,591594765.3,635056209.9,605179129.4,599338785.5
C02637,10347229.72,11249537.32,10187865.88,9182679.187,16616906.55,7864077.466
C03619,7435896.08,7393541.603,11127055.11,7960654.197,8082958.694,9176830.713
C00795,4196233492,1528823075,1146820693,3091530862,2029870368,1175977304
C00082,499140449.7,322669521,279952391.2,308417680.4,310567481.3,306710794.7
C01595,3040588188,2072497039,1493349394,2199996387,2085650871,1649754961
C02494,25065867.7,17662601.23,16792299.57,15222447.58,20315429.7,17259639.44
C00051,2558928155,3060814878,2771576992,2987010619,2984293441,2631342300
C00267,21418476.55,24390570.23,17583855.91,16458258.12,16644311.65,14864646.14
C09827,168057665.8,301012811.7,144320598.7,181733238.2,151335732.5,161705285.3
C00449,702920237.1,640795994.7,338250753.9,403722941.4,433678115.8,438828039.5
C00212,667199699.9,719973056.4,552828621.5,550433727.4,511071017.7,528613230.5
C14762,37459998.12,26551684.57,25726035.38,27119874.17,26060503.52,22117805.95
C10084,13278043.68,15209162.55,10731370.38,10052082.26,8255422.053,9120008.709
C04036,19934928.92,34873786.04,24202151.65,15400001.11,36872733.54,20801893.01
C07577,31085988.49,192470881.5,73691083.99,86083091.93,84401501.87,57805398.76
C00534,6191165.67,5307870.607,5210582.969,4717898.577,6841925.313,7680749.768
C00423,1030695078,1221526329,1006350274,871084153.4,979832273.2,773646282.8
C01970,10711629.73,10813845.58,8747658.257,11119074.17,7969160.956,9150575.5
C13846,1300087495,1216294601,598851660.8,884261155.4,505257329.5,851821625.7
C06323,216389972.8,213089052.3,194130885.2,174412612.3,179816238.7,195843118.7
C00811,183650595.8,188391235.5,139174820.6,148605268.9,194629146.8,122711420.2
C07018,7847071.738,8815532.874,7462205.61,5335883.756,10300012.16,6599259.42
C02155,91834767.96,63789863.32,49275917.91,48538176.03,50374487.02,49026157.49
C10470,19875687.78,20779824.91,16215355.5,14183239.97,16547120.13,11385360.68
C00232,53364925.57,56895264.16,51979341.37,44939800.19,42727901.94,36808964.2
C05984,48403340.15,37657745.94,35223186.83,34315751.98,36450652.59,34445091.47
C00429,14627835.82,19818387.97,15628234.06,16039523.42,14539379.08,12951052.95
C02115,19629966.04,25736974.45,12302547.9,13968701.55,13084299.08,11746208.77
C00802,17218310.64,13643838.4,10802615.42,11410357.36,10854295.91,11305875.24
C00966,13093700.72,38267250.09,44699297.99,32983308.8,43068707.4,33727399.76
C01042,17890292.05,17111870.25,21164858.85,21022000.68,21172797.3,19470583.81
C03217,12165399.69,15545978.1,9698593.184,8407389.879,9940592.503,8082158.861
C21602,7194725.934,6683261.928,7150868.83,7734945.383,7927272.356,7603996.677
